Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2719450E+7,	-3.0713265E+2,	 4.7740597E+2	
 7.2719590E+7,	-3.0662643E+2,	 5.0426477E+2	
 7.2719730E+7,	-3.0612022E+2,	 6.5581095E+2	
 7.2719870E+7,	-3.0561400E+2,	 5.2275282E+2	
 7.2720010E+7,	-3.0510778E+2,	 3.6822912E+2	
 7.2720150E+7,	-3.0460156E+2,	 5.1494628E+2	
 7.2720290E+7,	-3.0409534E+2,	 6.4190769E+2	
 7.2720430E+7,	-3.0358913E+2,	 5.4331219E+2	
 7.2720570E+7,	-3.0308291E+2,	 6.5196383E+2	
 7.2720710E+7,	-3.0257669E+2,	 7.4821448E+2	
 7.2720850E+7,	-3.0207047E+2,	 5.9049827E+2	
 7.2720990E+7,	-3.0156425E+2,	 5.6076938E+2	
