Temps___(ms):,	Pos.cal.(um):,	 Tension_(mV):	
 7.0489098E+7,	-2.6323342E-1,	 1.3083636E+3	
 7.0489178E+7,	-2.1261161E-1,	 1.3158867E+3	
 7.0489258E+7,	-1.6198980E-1,	 1.3259844E+3	
 7.0489338E+7,	-1.1136798E-1,	 1.3238251E+3	
 7.0489420E+7,	-6.0746173E-2,	 1.3127211E+3	
 7.0489501E+7,	-1.0124362E-2,	 1.3056083E+3	
 7.0489581E+7,	 4.0497449E-2,	 1.3114119E+3	
 7.0489661E+7,	 9.1119260E-2,	 1.3214265E+3	
 7.0489741E+7,	 1.4174107E-1,	 1.3293846E+3	
 7.0489823E+7,	 1.9236288E-1,	 1.3262579E+3	
 7.0489903E+7,	 2.4298469E-1,	 1.3143723E+3	
 7.0489983E+7,	 2.9360651E-1,	 1.3055643E+3	
 7.0490063E+7,	 3.4422832E-1,	 1.3049293E+3	
 7.0490143E+7,	 3.9485013E-1,	 1.3117050E+3	
 7.0490223E+7,	 4.4547194E-1,	 1.3220568E+3	
 7.0490305E+7,	 4.9609375E-1,	 1.3268540E+3	
 7.0490385E+7,	 5.4671556E-1,	 1.3183049E+3	
 7.0490465E+7,	 5.9733737E-1,	 1.3072985E+3	
 7.0490545E+7,	 6.4795918E-1,	 1.3052369E+3	
 7.0490625E+7,	 6.9858099E-1,	 1.3122864E+3	
 7.0490705E+7,	 7.4920281E-1,	 1.3236737E+3	
 7.0490785E+7,	 7.9982462E-1,	 1.3302981E+3	
 7.0490866E+7,	 8.5044643E-1,	 1.3255838E+3	
 7.0490946E+7,	 9.0106824E-1,	 1.3133513E+3	
 7.0491026E+7,	 9.5169005E-1,	 1.3051784E+3	
 7.0491106E+7,	 1.0023119E+0,	 1.3023596E+3	
 7.0491186E+7,	 1.0529337E+0,	 1.3063264E+3	
 7.0491266E+7,	 1.1035555E+0,	 1.3152565E+3	
 7.0491346E+7,	 1.1541773E+0,	 1.3264973E+3	
 7.0491426E+7,	 1.2047991E+0,	 1.3220128E+3	
 7.0491507E+7,	 1.2554209E+0,	 1.3093698E+3	
 7.0491587E+7,	 1.3060427E+0,	 1.3047142E+3	
 7.0491667E+7,	 1.3566645E+0,	 1.3108208E+3	
 7.0491747E+7,	 1.4072864E+0,	 1.3231168E+3	
 7.0491827E+7,	 1.4579082E+0,	 1.3283538E+3	
 7.0491907E+7,	 1.5085300E+0,	 1.3193161E+3	
 7.0491987E+7,	 1.5591518E+0,	 1.3074499E+3	
 7.0492067E+7,	 1.6097736E+0,	 1.3043234E+3	
 7.0492147E+7,	 1.6603954E+0,	 1.3110113E+3	
 7.0492227E+7,	 1.7110172E+0,	 1.3227602E+3	
 7.0492307E+7,	 1.7616390E+0,	 1.3287250E+3	
 7.0492387E+7,	 1.8122608E+0,	 1.3212947E+3	
 7.0492467E+7,	 1.8628827E+0,	 1.3093600E+3	
 7.0492547E+7,	 1.9135045E+0,	 1.3054861E+3	
 7.0492627E+7,	 1.9641263E+0,	 1.3139424E+3	
 7.0492707E+7,	 2.0147481E+0,	 1.3253444E+3	
 7.0492787E+7,	 2.0653699E+0,	 1.3297656E+3	
 7.0492867E+7,	 2.1159917E+0,	 1.3248168E+3	
 7.0492952E+7,	 2.1666135E+0,	 1.3108402E+3	
 7.0493032E+7,	 2.2172353E+0,	 1.3024769E+3	
 7.0493112E+7,	 2.2678571E+0,	 1.3042257E+3	
 7.0493192E+7,	 2.3184790E+0,	 1.3113630E+3	
 7.0493272E+7,	 2.3691008E+0,	 1.3213825E+3	
 7.0493352E+7,	 2.4197226E+0,	 1.3288374E+3	
 7.0493432E+7,	 2.4703444E+0,	 1.3239669E+3	
 7.0493516E+7,	 2.5209662E+0,	 1.3088130E+3	
 7.0493596E+7,	 2.5715880E+0,	 1.3042892E+3	
 7.0493676E+7,	 2.6222098E+0,	 1.3131510E+3	
 7.0493756E+7,	 2.6728316E+0,	 1.3255643E+3	
 7.0493836E+7,	 2.7234534E+0,	 1.3273523E+3	
 7.0493916E+7,	 2.7740753E+0,	 1.3180166E+3	
 7.0493996E+7,	 2.8246971E+0,	 1.3067856E+3	
 7.0494076E+7,	 2.8753189E+0,	 1.3068687E+3	
 7.0494156E+7,	 2.9259407E+0,	 1.3178017E+3	
 7.0494237E+7,	 2.9765625E+0,	 1.3291012E+3	
 7.0494317E+7,	 3.0271843E+0,	 1.3287543E+3	
 7.0494397E+7,	 3.0778061E+0,	 1.3166537E+3	
 7.0494477E+7,	 3.1284279E+0,	 1.3070934E+3	
 7.0494557E+7,	 3.1790497E+0,	 1.3087299E+3	
 7.0494637E+7,	 3.2296716E+0,	 1.3209575E+3	
 7.0494717E+7,	 3.2802934E+0,	 1.3273718E+3	
 7.0494797E+7,	 3.3309152E+0,	 1.3242697E+3	
 7.0494877E+7,	 3.3815370E+0,	 1.3128921E+3	
 7.0494957E+7,	 3.4321588E+0,	 1.3035809E+3	
 7.0495037E+7,	 3.4827806E+0,	 1.3030533E+3	
 7.0495117E+7,	 3.5334024E+0,	 1.3117343E+3	
 7.0495197E+7,	 3.5840242E+0,	 1.3231412E+3	
 7.0495277E+7,	 3.6346460E+0,	 1.3310992E+3	
 7.0495357E+7,	 3.6852679E+0,	 1.3297802E+3	
 7.0495437E+7,	 3.7358897E+0,	 1.3173279E+3	
 7.0495517E+7,	 3.7865115E+0,	 1.3077577E+3	
 7.0495597E+7,	 3.8371333E+0,	 1.3114314E+3	
 7.0495677E+7,	 3.8877551E+0,	 1.3238740E+3	
 7.0495757E+7,	 3.9383769E+0,	 1.3245823E+3	
 7.0495837E+7,	 3.9889987E+0,	 1.3132390E+3	
 7.0495917E+7,	 4.0396205E+0,	 1.3044993E+3	
 7.0496001E+7,	 4.0902423E+0,	 1.3071959E+3	
 7.0496081E+7,	 4.1408642E+0,	 1.3199414E+3	
 7.0496161E+7,	 4.1914860E+0,	 1.3298095E+3	
 7.0496241E+7,	 4.2421078E+0,	 1.3277675E+3	
 7.0496321E+7,	 4.2927296E+0,	 1.3172252E+3	
 7.0496401E+7,	 4.3433514E+0,	 1.3064827E+3	
 7.0496484E+7,	 4.3939732E+0,	 1.3073963E+3	
 7.0496564E+7,	 4.4445950E+0,	 1.3208696E+3	
 7.0496644E+7,	 4.4952168E+0,	 1.3297265E+3	
 7.0496726E+7,	 4.5458386E+0,	 1.3246557E+3	
 7.0496806E+7,	 4.5964605E+0,	 1.3122522E+3	
 7.0496886E+7,	 4.6470823E+0,	 1.3028725E+3	
 7.0496966E+7,	 4.6977041E+0,	 1.3023938E+3	
 7.0497046E+7,	 4.7483259E+0,	 1.3132048E+3	
 7.0497126E+7,	 4.7989477E+0,	 1.3279433E+3	
 7.0497207E+7,	 4.8495695E+0,	 1.3323302E+3	
 7.0497287E+7,	 4.9001913E+0,	 1.3274305E+3	
 7.0497367E+7,	 4.9508131E+0,	 1.3171861E+3	
 7.0497447E+7,	 5.0014349E+0,	 1.3058965E+3	
 7.0497527E+7,	 5.0520568E+0,	 1.3050904E+3	
 7.0497607E+7,	 5.1026786E+0,	 1.3163606E+3	
 7.0497690E+7,	 5.1533004E+0,	 1.3285443E+3	
 7.0497771E+7,	 5.2039222E+0,	 1.3248461E+3	
 7.0497851E+7,	 5.2545440E+0,	 1.3111480E+3	
 7.0497931E+7,	 5.3051658E+0,	 1.3034344E+3	
 7.0498012E+7,	 5.3557876E+0,	 1.3084172E+3	
 7.0498092E+7,	 5.4064094E+0,	 1.3220519E+3	
 7.0498172E+7,	 5.4570312E+0,	 1.3292282E+3	
 7.0498252E+7,	 5.5076531E+0,	 1.3236346E+3	
 7.0498332E+7,	 5.5582749E+0,	 1.3109380E+3	
 7.0498412E+7,	 5.6088967E+0,	 1.3026820E+3	
 7.0498496E+7,	 5.6595185E+0,	 1.3080704E+3	
 7.0498576E+7,	 5.7101403E+0,	 1.3217294E+3	
 7.0498656E+7,	 5.7607621E+0,	 1.3274548E+3	
 7.0498736E+7,	 5.8113839E+0,	 1.3199512E+3	
 7.0498816E+7,	 5.8620057E+0,	 1.3072448E+3	
 7.0498896E+7,	 5.9126276E+0,	 1.3021446E+3	
