Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5790831E+7,	-4.3706872E+1,	 1.2701514E+2	
 7.5790876E+7,	-4.3696747E+1,	 1.5876894E+2	
 7.5790921E+7,	-4.3686623E+1,	 2.0273571E+2	
 7.5790966E+7,	-4.3676499E+1,	 2.5158769E+2	
 7.5791011E+7,	-4.3666374E+1,	 3.4440646E+2	
 7.5791057E+7,	-4.3656250E+1,	 4.2012700E+2	
 7.5791102E+7,	-4.3646126E+1,	 4.7874939E+2	
 7.5791148E+7,	-4.3636001E+1,	 5.5202734E+2	
 7.5791193E+7,	-4.3625877E+1,	 6.3263315E+2	
 7.5791238E+7,	-4.3615753E+1,	 7.0835370E+2	
 7.5791284E+7,	-4.3605628E+1,	 7.9628724E+2	
 7.5791329E+7,	-4.3595504E+1,	 8.7200779E+2	
 7.5791375E+7,	-4.3585379E+1,	 9.2330241E+2	
 7.5791420E+7,	-4.3575255E+1,	 9.5749879E+2	
 7.5791464E+7,	-4.3565131E+1,	 9.7459698E+2	
 7.5791510E+7,	-4.3555006E+1,	 9.7215438E+2	
 7.5791555E+7,	-4.3544882E+1,	 9.1108942E+2	
 7.5791601E+7,	-4.3534758E+1,	 8.5002440E+2	
 7.5791646E+7,	-4.3524633E+1,	 7.7918905E+2	
 7.5791692E+7,	-4.3514509E+1,	 7.0591110E+2	
 7.5791737E+7,	-4.3504385E+1,	 6.6682953E+2	
 7.5791783E+7,	-4.3494260E+1,	 5.9843671E+2	
 7.5791828E+7,	-4.3484136E+1,	 5.0317538E+2	
 7.5791874E+7,	-4.3474011E+1,	 4.1279921E+2	
 7.5791919E+7,	-4.3463887E+1,	 3.4929165E+2	
 7.5791963E+7,	-4.3453763E+1,	 2.4181730E+2	
 7.5792009E+7,	-4.3443638E+1,	 1.7098193E+2	
 7.5792054E+7,	-4.3433514E+1,	 1.2701514E+2	
 7.5792100E+7,	-4.3423390E+1,	 1.0014655E+2	
 7.5792145E+7,	-4.3413265E+1,	 8.5490964E+1	
 7.5792191E+7,	-4.3403141E+1,	 8.5490964E+1	
 7.5792241E+7,	-4.3393017E+1,	 1.0991696E+2	
 7.5792286E+7,	-4.3382892E+1,	 1.0503175E+2	
 7.5792332E+7,	-4.3372768E+1,	 1.5144113E+2	
 7.5792377E+7,	-4.3362643E+1,	 1.9785051E+2	
 7.5792422E+7,	-4.3352519E+1,	 2.8334147E+2	
 7.5792467E+7,	-4.3342395E+1,	 3.7616023E+2	
 7.5792512E+7,	-4.3332270E+1,	 4.8119199E+2	
 7.5792558E+7,	-4.3322146E+1,	 4.6165121E+2	
 7.5792603E+7,	-4.3312022E+1,	 5.8378112E+2	
 7.5792649E+7,	-4.3301897E+1,	 6.4728874E+2	
 7.5792694E+7,	-4.3291773E+1,	 7.1812409E+2	
 7.5792740E+7,	-4.3281649E+1,	 7.6453346E+2	
 7.5792785E+7,	-4.3271524E+1,	 8.2804102E+2	
 7.5792831E+7,	-4.3261400E+1,	 8.9399123E+2	
 7.5792876E+7,	-4.3251276E+1,	 9.3307281E+2	
 7.5792921E+7,	-4.3241151E+1,	 9.6726918E+2	
 7.5792966E+7,	-4.3231027E+1,	 9.6482658E+2	
 7.5793011E+7,	-4.3220902E+1,	 9.5505619E+2	
 7.5793057E+7,	-4.3210778E+1,	 9.2818761E+2	
 7.5793102E+7,	-4.3200654E+1,	 8.9887643E+2	
 7.5793148E+7,	-4.3190529E+1,	 8.6712259E+2	
 7.5793193E+7,	-4.3180405E+1,	 6.8637031E+2	
 7.5793239E+7,	-4.3170281E+1,	 5.7645333E+2	
 7.5793284E+7,	-4.3160156E+1,	 6.1797750E+2	
 7.5793330E+7,	-4.3150032E+1,	 6.3996094E+2	
 7.5793375E+7,	-4.3139908E+1,	 5.8133852E+2	
 7.5793420E+7,	-4.3129783E+1,	 5.2760136E+2	
 7.5793465E+7,	-4.3119659E+1,	 4.2256960E+2	
 7.5793510E+7,	-4.3109534E+1,	 3.6150464E+2	
 7.5793556E+7,	-4.3099410E+1,	 2.9799706E+2	
 7.5793601E+7,	-4.3089286E+1,	 2.6380068E+2	
 7.5793647E+7,	-4.3079161E+1,	 2.3693210E+2	
 7.5793692E+7,	-4.3069037E+1,	 1.8075232E+2	
 7.5793738E+7,	-4.3058913E+1,	 1.4899853E+2	
 7.5793783E+7,	-4.3048788E+1,	 1.0747435E+2	
 7.5793829E+7,	-4.3038664E+1,	 1.0014655E+2	
 7.5793874E+7,	-4.3028540E+1,	 9.2818759E+1	
 7.5793920E+7,	-4.3018415E+1,	 9.0376161E+1	
 7.5793964E+7,	-4.3008291E+1,	 1.0747435E+2	
 7.5794010E+7,	-4.2998166E+1,	 1.3922814E+2	
 7.5794055E+7,	-4.2988042E+1,	 1.6121154E+2	
 7.5794100E+7,	-4.2977918E+1,	 2.5891548E+2	
 7.5794146E+7,	-4.2967793E+1,	 2.5647289E+2	
 7.5794191E+7,	-4.2957669E+1,	 4.2989740E+2	
 7.5794237E+7,	-4.2947545E+1,	 4.2501220E+2	
 7.5794282E+7,	-4.2937420E+1,	 5.7401073E+2	
 7.5794327E+7,	-4.2927296E+1,	 6.6682953E+2	
 7.5794373E+7,	-4.2917172E+1,	 7.5476307E+2	
 7.5794418E+7,	-4.2907047E+1,	 8.3048362E+2	
 7.5794463E+7,	-4.2896923E+1,	 9.5017099E+2	
 7.5794508E+7,	-4.2886798E+1,	 9.7459698E+2	
 7.5794554E+7,	-4.2876674E+1,	 9.8192477E+2	
 7.5794599E+7,	-4.2866550E+1,	 9.4772840E+2	
 7.5794645E+7,	-4.2856425E+1,	 9.0864682E+2	
 7.5794690E+7,	-4.2846301E+1,	 8.6956519E+2	
 7.5794736E+7,	-4.2836177E+1,	 8.2071322E+2	
 7.5794781E+7,	-4.2826052E+1,	 7.4743527E+2	
 7.5794826E+7,	-4.2815928E+1,	 6.4973134E+2	
 7.5794872E+7,	-4.2805804E+1,	 5.3492916E+2	
 7.5794917E+7,	-4.2795679E+1,	 3.8348803E+2	
 7.5794962E+7,	-4.2785555E+1,	 3.1509528E+2	
 7.5795007E+7,	-4.2775430E+1,	 1.4899853E+2	
 7.5795053E+7,	-4.2765306E+1,	 1.0991696E+2	
 7.5795098E+7,	-4.2755182E+1,	 1.0991696E+2	
 7.5795148E+7,	-4.2745057E+1,	 8.5490964E+1	
 7.5795194E+7,	-4.2734933E+1,	 8.5490964E+1	
 7.5795239E+7,	-4.2724809E+1,	 9.7703956E+1	
 7.5795285E+7,	-4.2714684E+1,	 1.4411333E+2	
 7.5795330E+7,	-4.2704560E+1,	 2.2471911E+2	
 7.5795375E+7,	-4.2694436E+1,	 2.8578407E+2	
 7.5795421E+7,	-4.2684311E+1,	 3.8348803E+2	
 7.5795465E+7,	-4.2674187E+1,	 4.4211042E+2	
 7.5795511E+7,	-4.2664062E+1,	 5.5446994E+2	
 7.5795556E+7,	-4.2653938E+1,	 6.1064970E+2	
 7.5795602E+7,	-4.2643814E+1,	 7.9872984E+2	
 7.5795647E+7,	-4.2633689E+1,	 8.4025401E+2	
 7.5795693E+7,	-4.2623565E+1,	 9.0620422E+2	
 7.5795738E+7,	-4.2613441E+1,	 9.4528580E+2	
 7.5795783E+7,	-4.2603316E+1,	 9.6238399E+2	
 7.5795829E+7,	-4.2593192E+1,	 9.9413776E+2	
 7.5795874E+7,	-4.2583068E+1,	 9.4772840E+2	
 7.5795920E+7,	-4.2572943E+1,	 8.6223739E+2	
 7.5795964E+7,	-4.2562819E+1,	 8.5735220E+2	
 7.5796010E+7,	-4.2552695E+1,	 7.1079630E+2	
 7.5796055E+7,	-4.2542570E+1,	 6.7904252E+2	
 7.5796101E+7,	-4.2532446E+1,	 5.7401073E+2	
 7.5796146E+7,	-4.2522321E+1,	 4.3722519E+2	
 7.5796192E+7,	-4.2512197E+1,	 3.9081582E+2	
 7.5796237E+7,	-4.2502073E+1,	 3.3219346E+2	
 7.5796283E+7,	-4.2491948E+1,	 2.7112848E+2	
 7.5796328E+7,	-4.2481824E+1,	 2.3937470E+2	
